"subj","cond","rt"
"caio","easy",0.361006593989957
"caio","easy",0.329803702547746
"caio","easy",0.53256413721806
"caio","easy",0.310179846771693
"caio","easy",0.33278161869978
"caio","easy",0.481851243466086
"caio","easy",0.365219407576538
"caio","easy",0.439015373846323
"caio","easy",0.260896983416029
"caio","easy",0.251957067871496
"caio","easy",0.269060128741209
"caio","easy",0.295862437997615
"caio","easy",0.332509542612196
"caio","easy",0.295042411353242
"caio","easy",0.399586856668123
"caio","easy",0.334541923230438
"caio","easy",0.3672723274858
"caio","easy",0.302822864693742
"caio","easy",0.263075716632242
"caio","easy",0.410910769459419
"caio","easy",0.350324217707713
"caio","easy",0.346015375895898
"caio","easy",0.233202148015913
"caio","easy",0.465401075826432
"caio","easy",0.319436938152776
"caio","easy",0.449828292208074
"caio","easy",0.271289668856684
"caio","easy",0.35337030587303
"caio","easy",0.385915442074515
"caio","easy",0.325723187572524
"caio","easy",0.272293577188764
"caio","easy",0.269762981388063
"caio","easy",0.48151609760053
"caio","easy",0.31618686417416
"caio","easy",0.303471594626197
"caio","easy",0.303837481581327
"caio","easy",0.37870600533399
"caio","easy",0.337021427343237
"caio","easy",0.391932510861566
"caio","easy",0.429397786236215
"caio","easy",0.377444010017463
"caio","easy",0.809121468680335
"caio","easy",0.477778132356557
"caio","easy",0.33923496464762
"caio","easy",0.249356606218016
"caio","easy",0.280459016344279
"caio","easy",0.28457025749931
"caio","easy",0.209012723863864
"caio","easy",0.622583810799481
"caio","easy",0.524920943060551
"caio","easy",0.29081634046973
"caio","easy",0.464439671581778
"caio","easy",0.363036401557209
"caio","easy",0.39314139479461
"caio","easy",0.500594582126232
"caio","easy",0.233423864486708
"caio","easy",0.596257538094544
"caio","easy",0.271150311289494
"caio","easy",0.285276327972674
"caio","easy",0.281851747390732
"caio","easy",0.442186027297854
"caio","easy",0.476027627359585
"caio","easy",0.260519657320273
"caio","easy",0.553601321416477
"caio","easy",0.463063123573372
"caio","easy",0.312562466318381
"caio","easy",0.279896529334782
"caio","easy",0.366973989245614
"caio","easy",0.498030413570351
"caio","easy",0.434404143430995
"caio","easy",0.320711469755938
"caio","easy",0.438819537345526
"caio","easy",0.541900562242223
"caio","easy",0.357343329072009
"caio","easy",0.43037147774603
"caio","easy",0.31392113347436
"caio","easy",0.40213862008445
"caio","easy",0.31343795077405
"caio","easy",0.498231257773071
"caio","easy",0.300262850106935
"caio","easy",0.355009646752457
"caio","easy",0.346474787905227
"caio","easy",0.354662952747481
"caio","easy",0.334266386469927
"caio","easy",0.404055180515196
"caio","easy",0.299471733102886
"caio","easy",0.626159268872943
"caio","easy",0.494684726505822
"caio","easy",0.272224536620128
"caio","easy",0.359343076887882
"caio","easy",0.19025963344945
"caio","easy",0.328212076396523
"caio","easy",0.332592982450662
