subj,cond,rt
caio,easy,0.28464823845127013
caio,easy,0.30659647572120974
caio,easy,0.31466087198937454
caio,easy,0.24130988835460107
caio,easy,0.4535937801398381
caio,easy,0.3822590646433454
caio,easy,0.27677946801035475
caio,easy,0.5033113724271765
caio,easy,0.40926846499901404
caio,easy,0.3417185374246665
caio,easy,0.46014271632421305
caio,easy,0.45819215607077923
caio,easy,0.45175976690406494
caio,easy,0.43699219848849474
caio,easy,0.4225191166855011
caio,easy,0.36222926907540764
caio,easy,0.34078937337143284
caio,easy,0.3345002171443441
caio,easy,0.30922789652133786
caio,easy,0.3492457955233612
caio,easy,0.2681123719873467
caio,easy,0.6326986676389192
caio,easy,0.4975747410387014
caio,easy,0.2778213088720167
caio,easy,0.3326311006843418
caio,easy,0.32737013450655705
caio,easy,0.4470840277836833
caio,easy,0.36029135096184284
caio,easy,0.3919306486700488
caio,easy,0.36526334630137636
caio,easy,0.36395770457368937
caio,easy,0.5179640560493377
caio,easy,0.347690436140088
caio,easy,0.5374699922598135
caio,easy,0.2497766398545642
caio,easy,0.4257740116352718
caio,easy,0.37944848375625817
caio,easy,0.3882854135633421
caio,easy,0.4045054256650931
caio,easy,0.32446394342078494
caio,easy,0.3384760826761656
caio,easy,0.28517739727422703
caio,easy,0.28140853433939594
caio,easy,0.39688137770797244
caio,easy,0.41149946649980074
caio,easy,0.37278667370191026
caio,easy,0.4632756095322445
caio,easy,0.614172878989952
caio,easy,0.3253812225808721
caio,easy,0.2065335894755807
caio,easy,0.47304471083256494
caio,easy,0.3081094534953485
caio,easy,0.3097461604730819
caio,easy,0.47539599072160194
caio,easy,0.3425994659998567
caio,easy,0.2711238834475875
caio,easy,0.3849375636964459
caio,easy,0.3553248488971167
caio,easy,0.36840995469887533
caio,easy,0.40507627360505627
caio,easy,0.33532166696851473
caio,easy,0.4321831324444369
caio,easy,0.348150075596914
caio,easy,0.3996946057826398
caio,easy,0.4839419842449484
caio,easy,0.4101613634623491
caio,easy,0.33909231386601907
caio,easy,0.49027045293030247
caio,easy,0.4716000350443384
caio,easy,0.4219363692330932
caio,easy,0.3905040000995277
caio,easy,0.31443543469347823
caio,easy,0.5169356460909901
caio,easy,0.31661622133690176
caio,easy,0.6356121353557038
caio,easy,0.5396430678393571
caio,easy,0.3468284194478488
caio,easy,0.284618604411924
caio,easy,0.30801658781245606
caio,easy,0.39228013170691406
caio,easy,0.34587668485096723
caio,easy,0.3372652218001299
caio,easy,0.28999121724675253
caio,easy,0.36376146896157013
caio,easy,0.3023330310518021
caio,easy,0.24244376700186468
caio,easy,0.33452066248301743
caio,easy,0.4628969370980903
caio,easy,0.3185943101269217
caio,easy,0.428266797294019
caio,easy,0.24549696924148687
caio,easy,0.36280474159480025
caio,easy,0.4188894656415486
caio,easy,0.39664577164461023
caio,easy,0.37772798777632677
caio,easy,0.31343085480350186
caio,easy,0.2974747039032075
caio,easy,0.28478174541572077
caio,easy,0.378860069921285
caio,easy,0.29029180041967534
caio,easy,0.3254197599526578
caio,easy,0.3450648018810759
caio,easy,0.5833111682782137
caio,easy,0.3125510461630008
